postalCode,City,State,Region,NeighborhoodType,Diversity,Politics,ageTwentyTwoToThirtyFour,ageThirtyFiveToFiftyFour,ageFiftyFiveToSeventyFour,twoByThreeToFourByFiveBed,twoByThreeBed,fourByFiveBed,bestSchool
19079,"Sharon Hill, PA",Pennsylvania,Mid-Atlantic,Small Lawn Neighborhoods,Diverse,Liberal,20%,23%,23%,$118k - $193k,"$118,362 ","$192,885 ",
19081,"Swarthmore, PA",Pennsylvania,Mid-Atlantic,Small Lawn Neighborhoods,Not Very Diverse,Liberal,12%,22%,22%,$264k - $709k,"$263,933 ","$709,358 ",
19082,"Upper Darby, PA",Pennsylvania,Mid-Atlantic,Small Lawn Neighborhoods,Diverse,Liberal,21%,26%,18%,$118k - $239k,"$117,989 ","$238,563 ",
19083,"Havertown, PA",Pennsylvania,Mid-Atlantic,Small Lawn Neighborhoods,Not Very Diverse,Liberal,16%,27%,23%,$385k - $558k,"$385,461 ","$557,965 ",Yes
19085,"Villanova, PA",Pennsylvania,Mid-Atlantic,Suburban Yards,Somewhat Diverse,Liberal,6%,17%,19%,$938k - $1.38m,"$938,412 ","$1,378,074 ",
19086,"Wallingford, PA",Pennsylvania,Mid-Atlantic,Suburban Yards,Somewhat Diverse,Liberal,14%,28%,23%,$288k - $633k,"$287,707 ","$633,422 ",
19087,"Wayne, PA",Pennsylvania,Mid-Atlantic,Suburban Yards,Somewhat Diverse,Liberal,11%,27%,24%,$439k - $1.08m,"$439,268 ","$1,075,237 ",
19090,"Willow Grove, PA",Pennsylvania,Mid-Atlantic,Small Lawn Neighborhoods,Somewhat Diverse,Liberal,18%,27%,23%,$333k - $431k,"$332,699 ","$431,033 ",
19094,"Woodlyn, PA",Pennsylvania,Mid-Atlantic,Small Lawn Neighborhoods,Not Very Diverse,Liberal,22%,24%,28%,$225k - $313k,"$224,662 ","$313,426 ",
19095,"Wyncote, PA",Pennsylvania,Mid-Atlantic,Small Lawn Neighborhoods,Diverse,Liberal,20%,22%,22%,$324k - $461k,"$323,997 ","$461,010 ",
19096,"Wynnewood, PA",Pennsylvania,Mid-Atlantic,Small Lawn Neighborhoods,Somewhat Diverse,Liberal,10%,26%,26%,$410k - $1.05m,"$410,479 ","$1,051,795 ",
19102,"Philadelphia, PA",Pennsylvania,Mid-Atlantic,Big City Apartments,Somewhat Diverse,Liberal,48%,18%,15%,$1.17m - $1.29m,"$1,169,834 ","$1,288,725 ",
19103,"Philadelphia, PA",Pennsylvania,Mid-Atlantic,Big City Apartments,Somewhat Diverse,Liberal,41%,21%,22%,$883k - $1.99m,"$883,175 ","$1,988,248 ",
19104,"Philadelphia, PA",Pennsylvania,Mid-Atlantic,Urban Apartments / Homes,Diverse,Liberal,27%,14%,11%,$213k - $409k,"$213,260 ","$408,625 ",
19106,"Philadelphia, PA",Pennsylvania,Mid-Atlantic,Small Lawn Neighborhoods,Somewhat Diverse,Liberal,38%,25%,22%,$787k - $1.64m,"$786,903 ","$1,636,619 ",
19107,"Philadelphia, PA",Pennsylvania,Mid-Atlantic,Big City Apartments,Diverse,Liberal,50%,20%,13%,$585k - $1.30m,"$584,921 ","$1,302,133 ",
19111,"Philadelphia, PA",Pennsylvania,Mid-Atlantic,Small Lawn Neighborhoods,Diverse,Liberal,19%,27%,18%,$259k - $324k,"$258,990 ","$323,942 ",
19114,"Philadelphia, PA",Pennsylvania,Mid-Atlantic,Small Lawn Neighborhoods,Somewhat Diverse,Liberal,19%,26%,24%,$274k - $357k,"$274,383 ","$356,581 ",
19115,"Philadelphia, PA",Pennsylvania,Mid-Atlantic,Small Lawn Neighborhoods,Somewhat Diverse,Liberal,17%,24%,24%,$279k - $452k,"$279,247 ","$451,558 ",
19116,"Philadelphia, PA",Pennsylvania,Mid-Atlantic,Small Lawn Neighborhoods,Diverse,Liberal,17%,24%,26%,$305k - $409k,"$304,798 ","$408,666 ",
19118,"Philadelphia, PA",Pennsylvania,Mid-Atlantic,Small Lawn Neighborhoods,Diverse,Liberal,16%,25%,26%,$535k - $1.00m,"$535,236 ","$1,004,610 ",
19119,"Philadelphia, PA",Pennsylvania,Mid-Atlantic,Small Lawn Neighborhoods,Diverse,Liberal,15%,28%,26%,$280k - $526k,"$280,124 ","$525,780 ",
19120,"Philadelphia, PA",Pennsylvania,Mid-Atlantic,Urban Apartments / Homes,Diverse,Liberal,20%,26%,16%,$154k - $191k,"$153,595 ","$191,107 ",
19121,"Philadelphia, PA",Pennsylvania,Mid-Atlantic,Small Lawn Neighborhoods,Diverse,Liberal,23%,19%,17%,$259k - $319k,"$258,778 ","$319,498 ",
19122,"Philadelphia, PA",Pennsylvania,Mid-Atlantic,Urban Apartments / Homes,Diverse,Liberal,23%,19%,14%,$312k - $380k,"$312,386 ","$379,527 ",
19123,"Philadelphia, PA",Pennsylvania,Mid-Atlantic,Small Lawn Neighborhoods,Diverse,Liberal,40%,23%,16%,$515k - $661k,"$515,065 ","$661,064 ",
19124,"Philadelphia, PA",Pennsylvania,Mid-Atlantic,Small Lawn Neighborhoods,Diverse,Liberal,17%,27%,15%,$149k - $199k,"$149,100 ","$198,822 ",
19125,"Philadelphia, PA",Pennsylvania,Mid-Atlantic,Urban Apartments / Homes,Somewhat Diverse,Liberal,38%,27%,14%,$347k - $460k,"$347,123 ","$459,645 ",
19126,"Philadelphia, PA",Pennsylvania,Mid-Atlantic,Small Lawn Neighborhoods,Diverse,Liberal,17%,24%,22%,$230k - $307k,"$230,438 ","$306,970 ",
19127,"Philadelphia, PA",Pennsylvania,Mid-Atlantic,Urban Apartments / Homes,Somewhat Diverse,Liberal,57%,16%,13%,$307k - $388k,"$307,129 ","$387,839 ",
19128,"Philadelphia, PA",Pennsylvania,Mid-Atlantic,Small Lawn Neighborhoods,Somewhat Diverse,Liberal,31%,22%,20%,$313k - $418k,"$313,488 ","$417,856 ",
19129,"Philadelphia, PA",Pennsylvania,Mid-Atlantic,Small Lawn Neighborhoods,Diverse,Liberal,29%,24%,18%,$304k - $555k,"$303,629 ","$555,370 ",
19130,"Philadelphia, PA",Pennsylvania,Mid-Atlantic,Urban Apartments / Homes,Diverse,Liberal,41%,23%,17%,$478k - $757k,"$477,720 ","$757,214 ",
19131,"Philadelphia, PA",Pennsylvania,Mid-Atlantic,Small Lawn Neighborhoods,Diverse,Liberal,20%,20%,20%,$162k - $326k,"$161,980 ","$326,154 ",
19132,"Philadelphia, PA",Pennsylvania,Mid-Atlantic,Small Lawn Neighborhoods,Diverse,Liberal,19%,24%,22%,$66k - $131k,"$65,770 ","$130,860 ",
19133,"Philadelphia, PA",Pennsylvania,Mid-Atlantic,Urban Apartments / Homes,Diverse,Liberal,19%,27%,18%,$62k - $172k,"$62,383 ","$171,769 ",
19134,"Philadelphia, PA",Pennsylvania,Mid-Atlantic,Urban Apartments / Homes,Diverse,Liberal,20%,25%,16%,$123k - $161k,"$122,957 ","$160,701 ",
19135,"Philadelphia, PA",Pennsylvania,Mid-Atlantic,Small Lawn Neighborhoods,Diverse,Liberal,21%,26%,16%,$179k - $235k,"$179,331 ","$235,133 ",
19136,"Philadelphia, PA",Pennsylvania,Mid-Atlantic,Small Lawn Neighborhoods,Somewhat Diverse,Liberal,22%,25%,21%,$201k - $296k,"$201,251 ","$296,464 ",
19137,"Philadelphia, PA",Pennsylvania,Mid-Atlantic,Small Lawn Neighborhoods,Not Very Diverse,Liberal,19%,27%,21%,$208k - $285k,"$207,662 ","$285,025 ",
19138,"Philadelphia, PA",Pennsylvania,Mid-Atlantic,Urban Apartments / Homes,Diverse,Liberal,21%,25%,22%,$174k - $236k,"$173,900 ","$236,286 ",
19139,"Philadelphia, PA",Pennsylvania,Mid-Atlantic,Big City Apartments,Diverse,Liberal,19%,24%,19%,$118k - $275k,"$117,634 ","$274,583 ",
19140,"Philadelphia, PA",Pennsylvania,Mid-Atlantic,Urban Apartments / Homes,Diverse,Liberal,19%,24%,18%,$72k - $158k,"$72,195 ","$158,304 ",
19141,"Philadelphia, PA",Pennsylvania,Mid-Atlantic,Urban Apartments / Homes,Diverse,Liberal,19%,22%,20%,$190k - $232k,"$189,699 ","$232,363 ",
19142,"Philadelphia, PA",Pennsylvania,Mid-Atlantic,Urban Apartments / Homes,Diverse,Liberal,22%,24%,16%,$112k - $172k,"$112,242 ","$172,435 ",
19143,"Philadelphia, PA",Pennsylvania,Mid-Atlantic,Urban Apartments / Homes,Diverse,Liberal,24%,23%,19%,$149k - $401k,"$148,756 ","$400,831 ",
19144,"Philadelphia, PA",Pennsylvania,Mid-Atlantic,Small Lawn Neighborhoods,Diverse,Liberal,21%,23%,21%,$160k - $288k,"$160,371 ","$287,734 ",
19145,"Philadelphia, PA",Pennsylvania,Mid-Atlantic,Small Lawn Neighborhoods,Diverse,Liberal,23%,24%,22%,$285k - $427k,"$284,545 ","$427,469 ",
19146,"Philadelphia, PA",Pennsylvania,Mid-Atlantic,Urban Apartments / Homes,Diverse,Liberal,33%,24%,18%,$420k - $605k,"$420,158 ","$605,146 ",
19147,"Philadelphia, PA",Pennsylvania,Mid-Atlantic,Big City Apartments,Somewhat Diverse,Liberal,33%,29%,17%,$478k - $608k,"$477,910 ","$608,091 ",
19148,"Philadelphia, PA",Pennsylvania,Mid-Atlantic,Small Lawn Neighborhoods,Diverse,Liberal,25%,27%,18%,$286k - $436k,"$285,520 ","$436,201 ",
19149,"Philadelphia, PA",Pennsylvania,Mid-Atlantic,Big City Apartments,Diverse,Liberal,21%,27%,16%,$197k - $227k,"$196,724 ","$227,407 ",
19150,"Philadelphia, PA",Pennsylvania,Mid-Atlantic,Small Lawn Neighborhoods,Diverse,Liberal,19%,21%,32%,$256k - $322k,"$256,078 ","$321,540 ",
19151,"Philadelphia, PA",Pennsylvania,Mid-Atlantic,Small Lawn Neighborhoods,Diverse,Liberal,21%,26%,20%,$188k - $310k,"$188,310 ","$309,709 ",
19152,"Philadelphia, PA",Pennsylvania,Mid-Atlantic,Small Lawn Neighborhoods,Diverse,Liberal,19%,24%,24%,$279k - $327k,"$279,319 ","$326,856 ",
19153,"Philadelphia, PA",Pennsylvania,Mid-Atlantic,Suburban Yards,Diverse,Liberal,18%,27%,21%,$210k - $260k,"$210,007 ","$259,734 ",
19154,"Philadelphia, PA",Pennsylvania,Mid-Atlantic,Small Lawn Neighborhoods,Somewhat Diverse,Liberal,19%,27%,21%,$278k - $377k,"$277,548 ","$376,773 ",
19301,"Paoli, PA",Pennsylvania,Mid-Atlantic,Suburban Yards,Somewhat Diverse,Liberal,14%,27%,26%,$377k - $843k,"$376,922 ","$843,201 ",
19312,"Berwyn, PA",Pennsylvania,Mid-Atlantic,Suburban Yards,Somewhat Diverse,Liberal,8%,29%,23%,$581k - $1.04m,"$580,824 ","$1,043,776 ",
19317,"Chadds Ford, PA",Pennsylvania,Mid-Atlantic,Suburban Yards,Somewhat Diverse,Liberal,10%,29%,28%,$413k - $813k,"$413,188 ","$812,924 ",
19319,"Cheyney, PA",Pennsylvania,Mid-Atlantic,Suburban Yards,Somewhat Diverse,Liberal,14%,11%,19%,$509k - $754k,"$509,479 ","$754,001 ",
19333,"Devon, PA",Pennsylvania,Mid-Atlantic,Suburban Yards,Somewhat Diverse,Liberal,15%,26%,21%,$449k - $1.16m,"$449,212 ","$1,159,632 ",
19335,"Downingtown, PA",Pennsylvania,Mid-Atlantic,Suburban Yards,Somewhat Diverse,Liberal,15%,29%,23%,$351k - $633k,"$351,258 ","$633,333 ",
19341,"Exton, PA",Pennsylvania,Mid-Atlantic,Suburban Yards,Somewhat Diverse,Liberal,18%,27%,23%,$368k - $609k,"$367,752 ","$609,043 ",
19342,"Glen Mills, PA",Pennsylvania,Mid-Atlantic,Suburban Yards,Somewhat Diverse,Liberal,12%,25%,24%,$437k - $762k,"$437,044 ","$762,114 ",Yes
19343,"Glenmoore, PA",Pennsylvania,Mid-Atlantic,Suburban Yards,Not Very Diverse,Liberal,10%,30%,27%,$379k - $658k,"$379,092 ","$657,812 ",
19348,"Kennett Square, PA",Pennsylvania,Mid-Atlantic,Suburban Yards,Not Very Diverse,Liberal,14%,27%,23%,$379k - $717k,"$379,434 ","$716,579 ",Yes
19350,"Landenberg, PA",Pennsylvania,Mid-Atlantic,Suburban Yards,Not Very Diverse,Liberal,13%,28%,29%,$412k - $603k,"$411,751 ","$603,480 ",
19355,"Malvern, PA",Pennsylvania,Mid-Atlantic,Suburban Yards,Somewhat Diverse,Liberal,14%,28%,25%,$404k - $963k,"$403,890 ","$963,383 ",
19372,"Thorndale, PA",Pennsylvania,Mid-Atlantic,Suburban Yards,Diverse,Liberal,25%,18%,18%,$274k - $364k,"$273,898 ","$363,516 ",
19373,"Thornton, PA",Pennsylvania,Mid-Atlantic,Suburban Yards,Somewhat Diverse,Liberal,24%,33%,17%,$546k - $789k,"$545,599 ","$789,277 ",Yes
19380,"West Chester, PA",Pennsylvania,Mid-Atlantic,Suburban Yards,Somewhat Diverse,Liberal,20%,24%,24%,$411k - $684k,"$410,769 ","$684,461 ",
19382,"West Chester, PA",Pennsylvania,Mid-Atlantic,Suburban Yards,Not Very Diverse,Liberal,18%,25%,24%,$376k - $739k,"$376,235 ","$738,675 ",
19401,"Norristown, PA",Pennsylvania,Mid-Atlantic,Small Lawn Neighborhoods,Diverse,Liberal,22%,25%,19%,$182k - $193k,"$182,184 ","$193,222 ",
19403,"Norristown, PA",Pennsylvania,Mid-Atlantic,Suburban Yards,Somewhat Diverse,Liberal,20%,27%,23%,$297k - $508k,"$297,325 ","$508,340 ",
19405,"Bridgeport, PA",Pennsylvania,Mid-Atlantic,Small Lawn Neighborhoods,Somewhat Diverse,Moderate,23%,31%,18%,$282k - $312k,"$282,204 ","$312,201 ",
19406,"King Of Prussia, PA",Pennsylvania,Mid-Atlantic,Suburban Yards,Diverse,Liberal,23%,26%,20%,$357k - $539k,"$357,138 ","$538,632 ",
19422,"Blue Bell, PA",Pennsylvania,Mid-Atlantic,Suburban Yards,Somewhat Diverse,Liberal,12%,27%,26%,$403k - $758k,"$403,203 ","$757,931 ",Yes
19425,"Chester Springs, PA",Pennsylvania,Mid-Atlantic,Suburban Yards,Somewhat Diverse,Liberal,9%,36%,19%,$383k - $755k,"$382,950 ","$754,852 ",
19426,"Collegeville, PA",Pennsylvania,Mid-Atlantic,Suburban Yards,Somewhat Diverse,Liberal,14%,31%,23%,$374k - $630k,"$373,623 ","$630,016 ",
19428,"Conshohocken, PA",Pennsylvania,Mid-Atlantic,Suburban Yards,Not Very Diverse,Liberal,37%,23%,20%,$398k - $518k,"$397,525 ","$517,925 ",
19437,"Gwynedd Valley, PA",Pennsylvania,Mid-Atlantic,Suburban Yards,Not Very Diverse,Liberal,5%,25%,29%,$760k - $1.10m,"$760,389 ","$1,095,104 ",Yes
19438,"Harleysville, PA",Pennsylvania,Mid-Atlantic,Suburban Yards,Not Very Diverse,Liberal,12%,29%,22%,$333k - $614k,"$332,969 ","$614,248 ",
19440,"Hatfield, PA",Pennsylvania,Mid-Atlantic,Suburban Yards,Somewhat Diverse,Moderate,16%,27%,25%,$370k - $520k,"$370,126 ","$520,231 ",
19444,"Lafayette Hill, PA",Pennsylvania,Mid-Atlantic,Suburban Yards,Not Very Diverse,Liberal,14%,21%,27%,$418k - $761k,"$417,688 ","$760,836 ",
19446,"Lansdale, PA",Pennsylvania,Mid-Atlantic,Suburban Yards,Somewhat Diverse,Liberal,17%,26%,24%,$331k - $575k,"$331,305 ","$575,335 ",
19453,"Mont Clare, PA",Pennsylvania,Mid-Atlantic,Suburban Yards,Not Very Diverse,Liberal,21%,31%,24%,$236k - $338k,"$235,624 ","$337,772 ",
19454,"North Wales, PA",Pennsylvania,Mid-Atlantic,Suburban Yards,Somewhat Diverse,Moderate,16%,26%,24%,$332k - $696k,"$332,364 ","$696,246 ",
19456,"Oaks, PA",Pennsylvania,Mid-Atlantic,Suburban Yards,Somewhat Diverse,Liberal,3%,56%,18%,$342k - $531k,"$342,141 ","$530,863 ",
19460,"Phoenixville, PA",Pennsylvania,Mid-Atlantic,Suburban Yards,Somewhat Diverse,Liberal,18%,28%,22%,$340k - $588k,"$340,084 ","$587,923 ",
19462,"Plymouth Meeting, PA",Pennsylvania,Mid-Atlantic,Suburban Yards,Somewhat Diverse,Liberal,14%,28%,23%,$372k - $557k,"$371,802 ","$556,912 ",
19464,"Pottstown, PA",Pennsylvania,Mid-Atlantic,Suburban Yards,Somewhat Diverse,Moderate,17%,27%,21%,$205k - $295k,"$205,491 ","$295,224 ",
19465,"Pottstown, PA",Pennsylvania,Mid-Atlantic,Suburban Yards,Not Very Diverse,Liberal,14%,29%,22%,$321k - $536k,"$321,169 ","$535,811 ",
19468,"Royersford, PA",Pennsylvania,Mid-Atlantic,Suburban Yards,Not Very Diverse,Liberal,17%,30%,20%,$298k - $542k,"$297,677 ","$541,543 ",Yes
19473,"Schwenksville, PA",Pennsylvania,Mid-Atlantic,Suburban Yards,Not Very Diverse,Liberal,10%,30%,21%,$332k - $626k,"$332,194 ","$625,603 ",
19474,"Skippack, PA",Pennsylvania,Mid-Atlantic,Small Lawn Neighborhoods,Not Very Diverse,Liberal,8%,29%,53%,$308k - $511k,"$308,288 ","$510,961 ",
19475,"Spring City, PA",Pennsylvania,Mid-Atlantic,Suburban Yards,Not Very Diverse,Liberal,16%,27%,23%,$308k - $547k,"$308,215 ","$547,238 ",
19477,"Spring House, PA",Pennsylvania,Mid-Atlantic,Suburban Yards,Somewhat Diverse,Liberal,4%,0%,34%,$771k - $797k,"$770,879 ","$796,919 ",Yes
19525,"Gilbertsville, PA",Pennsylvania,Mid-Atlantic,Suburban Yards,Not Very Diverse,Moderate,11%,30%,22%,$316k - $478k,"$316,232 ","$478,024 ",
19701,"Bear, DE",Delaware,Mid-Atlantic,Suburban Yards,Diverse,Liberal,18%,30%,22%,$276k - $488k,"$276,372 ","$487,925 ",
19702,"Newark, DE",Delaware,Mid-Atlantic,Suburban Yards,Diverse,Liberal,23%,27%,18%,$243k - $446k,"$243,333 ","$446,041 ",
19703,"Claymont, DE",Delaware,Mid-Atlantic,Small Lawn Neighborhoods,Diverse,Liberal,21%,26%,22%,$247k - $318k,"$247,397 ","$318,322 ",
19706,"Delaware City, DE",Delaware,Mid-Atlantic,Suburban Yards,Somewhat Diverse,Liberal,18%,24%,26%,$228k - $258k,"$228,021 ","$258,114 ",
19707,"Hockessin, DE",Delaware,Mid-Atlantic,Suburban Yards,Somewhat Diverse,Liberal,10%,29%,27%,$345k - $630k,"$345,306 ","$629,840 ",
19711,"Newark, DE",Delaware,Mid-Atlantic,Suburban Yards,Somewhat Diverse,Liberal,22%,21%,22%,$278k - $496k,"$277,533 ","$495,800 ",
19713,"Newark, DE",Delaware,Mid-Atlantic,Suburban Yards,Diverse,Liberal,20%,25%,23%,$240k - $316k,"$239,630 ","$316,049 ",
19720,"New Castle, DE",Delaware,Mid-Atlantic,Suburban Yards,Diverse,Liberal,18%,28%,21%,$216k - $335k,"$215,774 ","$335,118 ",
19801,"Wilmington, DE",Delaware,Mid-Atlantic,Small Lawn Neighborhoods,Diverse,Liberal,24%,26%,17%,$113k - $141k,"$113,468 ","$140,512 ",
19802,"Wilmington, DE",Delaware,Mid-Atlantic,Small Lawn Neighborhoods,Diverse,Liberal,16%,27%,23%,$136k - $255k,"$136,302 ","$254,877 ",
19803,"Wilmington, DE",Delaware,Mid-Atlantic,Suburban Yards,Somewhat Diverse,Liberal,12%,26%,26%,$433k - $578k,"$432,800 ","$577,693 ",
19804,"Wilmington, DE",Delaware,Mid-Atlantic,Suburban Yards,Somewhat Diverse,Liberal,21%,28%,23%,$233k - $275k,"$232,848 ","$275,431 ",
19805,"Wilmington, DE",Delaware,Mid-Atlantic,Small Lawn Neighborhoods,Diverse,Liberal,21%,26%,18%,$170k - $225k,"$169,630 ","$225,370 ",
19806,"Wilmington, DE",Delaware,Mid-Atlantic,Small Lawn Neighborhoods,Somewhat Diverse,Liberal,30%,21%,25%,$304k - $500k,"$303,788 ","$500,375 ",
19807,"Wilmington, DE",Delaware,Mid-Atlantic,Suburban Yards,Not Very Diverse,Liberal,9%,28%,29%,$737k - $1.04m,"$737,229 ","$1,040,509 ",
19808,"Wilmington, DE",Delaware,Mid-Atlantic,Small Lawn Neighborhoods,Somewhat Diverse,Liberal,16%,25%,24%,$283k - $437k,"$283,135 ","$437,138 ",
19809,"Wilmington, DE",Delaware,Mid-Atlantic,Suburban Yards,Diverse,Liberal,19%,28%,18%,$270k - $409k,"$270,155 ","$409,283 ",
19810,"Wilmington, DE",Delaware,Mid-Atlantic,Small Lawn Neighborhoods,Somewhat Diverse,Liberal,15%,25%,27%,$326k - $478k,"$326,197 ","$477,884 ",
20001,"Washington, DC",District Of Columbia,Mid-Atlantic,Urban Apartments / Homes,Diverse,Liberal,42%,24%,12%,$880k - $1.24m,"$879,902 ","$1,244,370 ",
20002,"Washington, DC",District Of Columbia,Mid-Atlantic,Small Lawn Neighborhoods,Diverse,Liberal,34%,27%,14%,$814k - $1.14m,"$814,363 ","$1,137,113 ",
20003,"Washington, DC",District Of Columbia,Mid-Atlantic,Small Lawn Neighborhoods,Diverse,Liberal,37%,28%,15%,$994k - $1.65m,"$994,030 ","$1,653,150 ",
20005,"Washington, DC",District Of Columbia,Mid-Atlantic,Big City Apartments,Diverse,Liberal,45%,30%,13%,$1.01m - $1.88m,"$1,013,465 ","$1,882,396 ",
20007,"Washington, DC",District Of Columbia,Mid-Atlantic,Small Lawn Neighborhoods,Somewhat Diverse,Liberal,28%,25%,19%,$1.19m - $2.16m,"$1,189,851 ","$2,163,301 ",
20008,"Washington, DC",District Of Columbia,Mid-Atlantic,Small Lawn Neighborhoods,Somewhat Diverse,Liberal,32%,28%,21%,$1.12m - $2.18m,"$1,117,158 ","$2,180,208 ",Yes
20009,"Washington, DC",District Of Columbia,Mid-Atlantic,Big City Apartments,Diverse,Liberal,43%,28%,14%,$988k - $1.70m,"$987,534 ","$1,701,203 ",
20010,"Washington, DC",District Of Columbia,Mid-Atlantic,Big City Apartments,Diverse,Liberal,39%,28%,12%,$814k - $1.21m,"$814,428 ","$1,211,955 ",
20011,"Washington, DC",District Of Columbia,Mid-Atlantic,Small Lawn Neighborhoods,Diverse,Liberal,23%,27%,20%,$706k - $1.06m,"$706,044 ","$1,057,126 ",
20012,"Washington, DC",District Of Columbia,Mid-Atlantic,Small Lawn Neighborhoods,Diverse,Liberal,17%,30%,22%,$764k - $1.16m,"$764,167 ","$1,159,045 ",
20015,"Washington, DC",District Of Columbia,Mid-Atlantic,Small Lawn Neighborhoods,Somewhat Diverse,Liberal,10%,28%,24%,$1.19m - $1.65m,"$1,187,096 ","$1,652,832 ",Yes
20016,"Washington, DC",District Of Columbia,Mid-Atlantic,Small Lawn Neighborhoods,Somewhat Diverse,Liberal,12%,25%,21%,$1.06m - $1.96m,"$1,061,569 ","$1,961,923 ",Yes
20017,"Washington, DC",District Of Columbia,Mid-Atlantic,Small Lawn Neighborhoods,Diverse,Liberal,22%,25%,20%,$649k - $912k,"$648,787 ","$912,380 ",
20018,"Washington, DC",District Of Columbia,Mid-Atlantic,Small Lawn Neighborhoods,Diverse,Liberal,17%,27%,23%,$666k - $858k,"$665,609 ","$858,453 ",
20019,"Washington, DC",District Of Columbia,Mid-Atlantic,Small Lawn Neighborhoods,Diverse,Liberal,18%,23%,20%,$447k - $550k,"$446,774 ","$549,537 ",
20020,"Washington, DC",District Of Columbia,Mid-Atlantic,Small Lawn Neighborhoods,Diverse,Liberal,20%,24%,18%,$431k - $639k,"$430,826 ","$639,257 ",
20024,"Washington, DC",District Of Columbia,Mid-Atlantic,Small Lawn Neighborhoods,Diverse,Liberal,33%,28%,19%,$830k - $1.15m,"$829,797 ","$1,153,912 ",
20032,"Washington, DC",District Of Columbia,Mid-Atlantic,Small Lawn Neighborhoods,Diverse,Liberal,22%,23%,17%,$409k - $504k,"$408,678 ","$504,308 ",
20036,"Washington, DC",District Of Columbia,Mid-Atlantic,Urban Apartments / Homes,Somewhat Diverse,Liberal,54%,23%,18%,$1.14m - $2.27m,"$1,143,431 ","$2,268,332 ",
20037,"Washington, DC",District Of Columbia,Mid-Atlantic,Urban Apartments / Homes,Somewhat Diverse,Liberal,30%,15%,12%,$1.43m - $1.94m,"$1,429,787 ","$1,942,049 ",
20105,"Aldie, VA",Virginia,South,Suburban Yards,Diverse,Liberal,15%,34%,13%,$494k - $1.00m,"$494,117 ","$1,003,719 ",
20109,"Manassas, VA",Virginia,South,Suburban Yards,Diverse,Liberal,26%,28%,12%,$336k - $497k,"$336,301 ","$497,272 ",
20110,"Manassas, VA",Virginia,South,Small Lawn Neighborhoods,Diverse,Liberal,20%,29%,17%,$327k - $573k,"$327,259 ","$573,475 ",
20111,"Manassas, VA",Virginia,South,Suburban Yards,Diverse,Liberal,18%,31%,15%,$331k - $587k,"$331,488 ","$586,919 ",
20112,"Manassas, VA",Virginia,South,Suburban Yards,Somewhat Diverse,Liberal,12%,30%,23%,$481k - $730k,"$481,131 ","$729,726 ",
20120,"Centreville, VA",Virginia,South,Suburban Yards,Diverse,Liberal,18%,32%,19%,$457k - $842k,"$457,240 ","$841,805 ",
20121,"Centreville, VA",Virginia,South,Small Lawn Neighborhoods,Diverse,Liberal,20%,33%,15%,$452k - $795k,"$452,001 ","$795,454 ",
20124,"Clifton, VA",Virginia,South,Suburban Yards,Somewhat Diverse,Liberal,12%,28%,29%,$525k - $957k,"$524,702 ","$957,363 ",
20129,"Paeonian Springs, VA",Virginia,South,Suburban Yards,Diverse,Liberal,3%,17%,46%,$449k - $1.29m,"$448,971 ","$1,292,836 ",
20136,"Bristow, VA",Virginia,South,Suburban Yards,Diverse,Liberal,12%,35%,12%,$456k - $715k,"$455,845 ","$714,547 ",
20143,"Catharpin, VA",Virginia,South,Suburban Yards,Somewhat Diverse,Liberal,17%,22%,24%,$642k - $980k,"$642,017 ","$979,991 ",
20147,"Ashburn, VA",Virginia,South,Small Lawn Neighborhoods,Diverse,Liberal,18%,32%,15%,$515k - $901k,"$514,671 ","$901,401 ",
20148,"Ashburn, VA",Virginia,South,Small Lawn Neighborhoods,Diverse,Liberal,14%,40%,9%,$560k - $975k,"$560,294 ","$974,626 ",Yes
20151,"Chantilly, VA",Virginia,South,Suburban Yards,Diverse,Liberal,17%,31%,21%,$446k - $867k,"$446,473 ","$866,874 ",
20152,"Chantilly, VA",Virginia,South,Suburban Yards,Diverse,Liberal,14%,37%,12%,$492k - $945k,"$492,287 ","$945,221 ",
20155,"Gainesville, VA",Virginia,South,Suburban Yards,Diverse,Liberal,14%,31%,17%,$501k - $760k,"$500,819 ","$759,622 ",
20164,"Sterling, VA",Virginia,South,Small Lawn Neighborhoods,Diverse,Liberal,22%,30%,17%,$416k - $595k,"$416,406 ","$595,448 ",
20165,"Sterling, VA",Virginia,South,Small Lawn Neighborhoods,Somewhat Diverse,Liberal,15%,33%,18%,$487k - $865k,"$487,413 ","$864,546 ",
20166,"Sterling, VA",Virginia,South,Suburban Yards,Diverse,Liberal,24%,35%,11%,$454k - $821k,"$453,553 ","$820,593 ",
20169,"Haymarket, VA",Virginia,South,Suburban Yards,Somewhat Diverse,Conservative,12%,31%,19%,$539k - $880k,"$538,713 ","$879,753 ",
20170,"Herndon, VA",Virginia,South,Small Lawn Neighborhoods,Diverse,Liberal,19%,29%,20%,$426k - $766k,"$426,487 ","$766,278 ",
20171,"Herndon, VA",Virginia,South,Small Lawn Neighborhoods,Diverse,Liberal,18%,32%,17%,$524k - $924k,"$523,544 ","$923,943 ",
20175,"Leesburg, VA",Virginia,South,Suburban Yards,Somewhat Diverse,Liberal,16%,33%,17%,$433k - $892k,"$432,596 ","$891,625 ",
