TaxType,State,Deduction,RangeMin,RangeMax,RangeTax,LocalTax,Tax
,,,,,,19706,0.00%
,,,,,,19707,0.00%
,,,,,,19711,0.00%
,,,,,,19713,0.00%
,,,,,,19720,0.00%
,,,,,,19732,0.00%
,,,,,,19733,0.00%
,,,,,,19736,0.00%
,,,,,,19801,1.25%
,,,,,,19802,1.25%
,,,,,,19803,1.25%
,,,,,,19804,1.25%
,,,,,,19805,1.25%
,,,,,,19806,1.25%
,,,,,,19807,1.25%
,,,,,,19808,1.25%
,,,,,,19809,1.25%
,,,,,,19810,1.25%
,,,,,,20001,0.00%
,,,,,,20002,0.00%
,,,,,,20003,0.00%
,,,,,,20005,0.00%
,,,,,,20007,0.00%
,,,,,,20008,0.00%
,,,,,,20009,0.00%
,,,,,,20010,0.00%
,,,,,,20011,0.00%
,,,,,,20012,0.00%
,,,,,,20015,0.00%
,,,,,,20016,0.00%
,,,,,,20017,0.00%
,,,,,,20018,0.00%
,,,,,,20019,0.00%
,,,,,,20020,0.00%
,,,,,,20024,0.00%
,,,,,,20032,0.00%
,,,,,,20036,0.00%
,,,,,,20037,0.00%
,,,,,,20052,0.00%
,,,,,,20105,0.00%
,,,,,,20109,0.00%
,,,,,,20110,0.00%
,,,,,,20111,0.00%
,,,,,,20112,0.00%
,,,,,,20120,0.00%
,,,,,,20121,0.00%
,,,,,,20124,0.00%
,,,,,,20129,0.00%
,,,,,,20136,0.00%
,,,,,,20143,0.00%
,,,,,,20147,0.00%
,,,,,,20148,0.00%
,,,,,,20151,0.00%
,,,,,,20152,0.00%
,,,,,,20155,0.00%
,,,,,,20158,0.00%
,,,,,,20164,0.00%
,,,,,,20165,0.00%
,,,,,,20166,0.00%
,,,,,,20169,0.00%
,,,,,,20170,0.00%
,,,,,,20171,0.00%
,,,,,,20175,0.00%
,,,,,,20176,0.00%
,,,,,,20181,0.00%
,,,,,,20190,0.00%
,,,,,,20191,0.00%
,,,,,,20194,0.00%
,,,,,,20197,0.00%
,,,,,,20601,3.03%
,,,,,,20602,3.03%
,,,,,,20603,3.03%
,,,,,,20607,3.20%
,,,,,,20613,3.20%
,,,,,,20616,3.03%
,,,,,,20617,3.03%
,,,,,,20623,3.20%
,,,,,,20640,3.03%
,,,,,,20658,3.03%
,,,,,,20675,3.03%
,,,,,,20695,3.03%
,,,,,,20705,3.20%
,,,,,,20706,3.20%
,,,,,,20707,3.20%
,,,,,,20708,3.20%
,,,,,,20710,3.20%
,,,,,,20712,3.20%
,,,,,,20715,3.20%
,,,,,,20716,3.20%
,,,,,,20720,3.20%
,,,,,,20721,3.20%
,,,,,,20722,3.20%
,,,,,,20723,3.20%
,,,,,,20724,2.50%
,,,,,,20735,3.20%
,,,,,,20737,3.20%
,,,,,,20740,3.20%
,,,,,,20743,3.20%
,,,,,,20744,3.20%
,,,,,,20745,3.20%
,,,,,,20746,3.20%
,,,,,,20747,3.20%
,,,,,,20748,3.20%
,,,,,,20759,3.20%
,,,,,,20763,3.20%
,,,,,,20764,2.50%
,,,,,,20765,2.50%
,,,,,,20769,3.20%
,,,,,,20770,3.20%
,,,,,,20772,3.20%
,,,,,,20774,3.20%
,,,,,,20776,2.50%
,,,,,,20777,3.20%
,,,,,,20781,3.20%
,,,,,,20782,3.20%
,,,,,,20783,3.20%
,,,,,,20784,3.20%
,,,,,,20785,3.20%
,,,,,,20794,3.20%
,,,,,,20812,3.20%
,,,,,,20814,3.20%
,,,,,,20815,3.20%
,,,,,,20816,3.20%
,,,,,,20817,3.20%
,,,,,,20818,3.20%
,,,,,,20832,3.20%
,,,,,,20833,3.20%
,,,,,,20837,3.20%
,,,,,,20838,3.20%
,,,,,,20839,3.20%
,,,,,,20841,3.20%
,,,,,,20842,3.20%
,,,,,,20850,3.20%
,,,,,,20851,3.20%
,,,,,,20852,3.20%
,,,,,,20853,3.20%
,,,,,,20854,3.20%
,,,,,,20855,3.20%
,,,,,,20860,3.20%
,,,,,,20861,3.20%
,,,,,,20862,3.20%
,,,,,,20866,3.20%
,,,,,,20868,3.20%
,,,,,,20871,3.20%
,,,,,,20872,3.20%
,,,,,,20874,3.20%
,,,,,,20876,3.20%
,,,,,,20877,3.20%
,,,,,,20878,3.20%
,,,,,,20879,3.20%
,,,,,,20880,3.20%
,,,,,,20882,3.20%
,,,,,,20886,3.20%
,,,,,,20895,3.20%
,,,,,,20896,3.20%
,,,,,,20901,3.20%
,,,,,,20902,3.20%
,,,,,,20903,3.20%
,,,,,,20904,3.20%
,,,,,,20905,3.20%
,,,,,,20906,3.20%
,,,,,,20910,3.20%
,,,,,,20912,3.20%
,,,,,,21001,3.06%
,,,,,,21009,3.06%
,,,,,,21012,2.50%
,,,,,,21013,2.83%
,,,,,,21014,3.06%
,,,,,,21015,3.06%
,,,,,,21017,3.06%
,,,,,,21028,3.06%
,,,,,,21029,3.20%
,,,,,,21030,2.83%
,,,,,,21032,2.50%
,,,,,,21035,2.50%
,,,,,,21036,3.20%
,,,,,,21037,2.50%
,,,,,,21040,3.06%
,,,,,,21042,3.20%
,,,,,,21043,3.20%
,,,,,,21044,3.20%
,,,,,,21045,3.20%
,,,,,,21046,3.20%
,,,,,,21047,3.06%
,,,,,,21048,3.03%
,,,,,,21050,3.06%
,,,,,,21051,2.83%
,,,,,,21052,2.83%
,,,,,,21054,2.50%
,,,,,,21056,2.50%
,,,,,,21057,2.83%
,,,,,,21060,2.50%
,,,,,,21061,2.50%
,,,,,,21071,2.83%
,,,,,,21075,3.20%
,,,,,,21076,2.50%
,,,,,,21077,2.50%
,,,,,,21082,2.83%
,,,,,,21084,3.06%
,,,,,,21085,3.06%
,,,,,,21087,2.83%
,,,,,,21090,2.50%
,,,,,,21093,2.83%
,,,,,,21104,3.20%
,,,,,,21108,2.50%
,,,,,,21113,2.50%
,,,,,,21114,2.50%
,,,,,,21117,2.83%
,,,,,,21122,2.50%
,,,,,,21128,2.83%
,,,,,,21131,2.83%
,,,,,,21133,2.83%
,,,,,,21136,2.83%
,,,,,,21140,2.50%
,,,,,,21144,2.50%
,,,,,,21146,2.50%
,,,,,,21153,2.83%
,,,,,,21154,3.06%
,,,,,,21156,2.83%
,,,,,,21162,2.83%
,,,,,,21163,3.20%
,,,,,,21201,0.00%
,,,,,,21202,0.00%
,,,,,,21204,2.83%
,,,,,,21205,0.00%
,,,,,,21206,0.00%
,,,,,,21207,2.83%
,,,,,,21208,2.83%
,,,,,,21209,0.00%
,,,,,,21210,0.00%
,,,,,,21211,0.00%
,,,,,,21212,0.00%
,,,,,,21213,0.00%
,,,,,,21214,0.00%
,,,,,,21215,0.00%
,,,,,,21216,0.00%
,,,,,,21217,0.00%
,,,,,,21218,0.00%
,,,,,,21219,2.83%
,,,,,,21220,2.83%
,,,,,,21221,2.83%
,,,,,,21222,2.83%
,,,,,,21223,0.00%
,,,,,,21224,0.00%
,,,,,,21225,2.50%
,,,,,,21226,0.00%
,,,,,,21227,2.83%
,,,,,,21228,2.83%
,,,,,,21229,0.00%
,,,,,,21230,0.00%
,,,,,,21231,0.00%
,,,,,,21234,2.83%
,,,,,,21236,2.83%
,,,,,,21237,2.83%
,,,,,,21239,0.00%
,,,,,,21244,2.83%
,,,,,,21286,2.83%
,,,,,,21401,2.50%
,,,,,,21403,2.50%
,,,,,,21405,2.50%
,,,,,,21409,2.50%
,,,,,,21701,2.96%
,,,,,,21703,2.96%
,,,,,,21704,2.96%
,,,,,,21710,2.96%
,,,,,,21717,2.96%
,,,,,,21723,3.20%
,,,,,,21737,3.20%
,,,,,,21738,3.20%
,,,,,,21754,2.96%
,,,,,,21755,2.96%
,,,,,,21769,2.96%
,,,,,,21770,2.96%
,,,,,,21774,2.96%
,,,,,,21793,2.96%
,,,,,,21794,3.20%
,,,,,,21920,3.00%
,,,,,,22003,0.00%
,,,,,,22015,0.00%
,,,,,,22025,0.00%
,,,,,,22026,0.00%
,,,,,,22027,0.00%
,,,,,,22030,0.00%
,,,,,,22031,0.00%
,,,,,,22032,0.00%
,,,,,,22033,0.00%
,,,,,,22039,0.00%
,,,,,,22041,0.00%
,,,,,,22042,0.00%
,,,,,,22043,0.00%
,,,,,,22044,0.00%
,,,,,,22046,0.00%
,,,,,,22060,0.00%
,,,,,,22066,0.00%
,,,,,,22079,0.00%
,,,,,,22101,0.00%
,,,,,,22102,0.00%
,,,,,,22124,0.00%
,,,,,,22125,0.00%
,,,,,,22134,0.00%
,,,,,,22150,0.00%
,,,,,,22151,0.00%
,,,,,,22152,0.00%
,,,,,,22153,0.00%
,,,,,,22172,0.00%
,,,,,,22180,0.00%
,,,,,,22181,0.00%
,,,,,,22182,0.00%
,,,,,,22191,0.00%
,,,,,,22192,0.00%
,,,,,,22193,0.00%
,,,,,,22201,0.00%
,,,,,,22202,0.00%
,,,,,,22203,0.00%
,,,,,,22204,0.00%
,,,,,,22205,0.00%
,,,,,,22206,0.00%
,,,,,,22207,0.00%
,,,,,,22209,0.00%
,,,,,,22213,0.00%
,,,,,,22301,0.00%
,,,,,,22302,0.00%
,,,,,,22303,0.00%
,,,,,,22304,0.00%
,,,,,,22305,0.00%
,,,,,,22306,0.00%
,,,,,,22307,0.00%
,,,,,,22308,0.00%
,,,,,,22309,0.00%
,,,,,,22310,0.00%
,,,,,,22311,0.00%
,,,,,,22312,0.00%
,,,,,,22314,0.00%
,,,,,,22315,0.00%
,,,,,,22620,0.00%
,,,,,,22663,0.00%
,,,,,,22801,0.00%
,,,,,,22802,0.00%
,,,,,,22812,0.00%
,,,,,,22832,0.00%
,,,,,,22840,0.00%
,,,,,,22841,0.00%
,,,,,,22846,0.00%
,,,,,,22901,0.00%
,,,,,,22902,0.00%
,,,,,,22903,0.00%
,,,,,,22911,0.00%
,,,,,,22936,0.00%
,,,,,,22947,0.00%
,,,,,,24471,0.00%
,,,,,,27006,0.00%
,,,,,,27012,0.00%
,,,,,,27023,0.00%
,,,,,,27040,0.00%
,,,,,,27045,0.00%
,,,,,,27050,0.00%
,,,,,,27051,0.00%
,,,,,,27101,0.00%
,,,,,,27103,0.00%
,,,,,,27104,0.00%
,,,,,,27105,0.00%
,,,,,,27106,0.00%
,,,,,,27107,0.00%
,,,,,,27127,0.00%
,,,,,,27214,0.00%
,,,,,,27235,0.00%
,,,,,,27260,0.00%
,,,,,,27262,0.00%
,,,,,,27263,0.00%
,,,,,,27265,0.00%
,,,,,,27282,0.00%
,,,,,,27301,0.00%
,,,,,,27310,0.00%
,,,,,,27358,0.00%
,,,,,,27401,0.00%
,,,,,,27403,0.00%
,,,,,,27405,0.00%
,,,,,,27406,0.00%
,,,,,,27407,0.00%
,,,,,,27408,0.00%
,,,,,,27409,0.00%
,,,,,,27410,0.00%
,,,,,,27455,0.00%
,,,,,,27502,0.00%
,,,,,,27503,0.00%
,,,,,,27510,0.00%
,,,,,,27511,0.00%
,,,,,,27513,0.00%
,,,,,,27514,0.00%
,,,,,,27516,0.00%
,,,,,,27517,0.00%
,,,,,,27518,0.00%
,,,,,,27519,0.00%
,,,,,,27523,0.00%
,,,,,,27529,0.00%
,,,,,,27539,0.00%
,,,,,,27540,0.00%
,,,,,,27545,0.00%
,,,,,,27560,0.00%
,,,,,,27562,0.00%
,,,,,,27571,0.00%
,,,,,,27587,0.00%
,,,,,,27601,0.00%
,,,,,,27603,0.00%
,,,,,,27604,0.00%
,,,,,,27605,0.00%
,,,,,,27606,0.00%
,,,,,,27607,0.00%
,,,,,,27608,0.00%
,,,,,,27609,0.00%
,,,,,,27610,0.00%
,,,,,,27612,0.00%
,,,,,,27613,0.00%
,,,,,,27614,0.00%
,,,,,,27615,0.00%
,,,,,,27616,0.00%
,,,,,,27617,0.00%
,,,,,,27701,0.00%
,,,,,,27703,0.00%
,,,,,,27704,0.00%
,,,,,,27705,0.00%
,,,,,,27707,0.00%
,,,,,,27712,0.00%
,,,,,,27713,0.00%
,,,,,,28027,0.00%
,,,,,,28031,0.00%
,,,,,,28036,0.00%
,,,,,,28037,0.00%
,,,,,,28075,0.00%
,,,,,,28078,0.00%
,,,,,,28079,0.00%
,,,,,,28104,0.00%
,,,,,,28105,0.00%
,,,,,,28108,0.00%
,,,,,,28115,0.00%
,,,,,,28117,0.00%
,,,,,,28125,0.00%
,,,,,,28134,0.00%
,,,,,,28166,0.00%
,,,,,,28173,0.00%
,,,,,,28202,0.00%
,,,,,,28203,0.00%
,,,,,,28204,0.00%
,,,,,,28205,0.00%
,,,,,,28206,0.00%
,,,,,,28207,0.00%
,,,,,,28208,0.00%
,,,,,,28209,0.00%
,,,,,,28210,0.00%
,,,,,,28211,0.00%
,,,,,,28212,0.00%
,,,,,,28213,0.00%
,,,,,,28214,0.00%
,,,,,,28215,0.00%
,,,,,,28216,0.00%
,,,,,,28217,0.00%
,,,,,,28226,0.00%
,,,,,,28227,0.00%
,,,,,,28262,0.00%
,,,,,,28269,0.00%
,,,,,,28270,0.00%
,,,,,,28273,0.00%
,,,,,,28277,0.00%
,,,,,,28278,0.00%
,,,,,,28401,0.00%
,,,,,,28403,0.00%
,,,,,,28405,0.00%
,,,,,,28409,0.00%
,,,,,,28411,0.00%
,,,,,,28412,0.00%
,,,,,,28429,0.00%
,,,,,,28451,0.00%
,,,,,,28479,0.00%
,,,,,,28480,0.00%
,,,,,,28682,0.00%
,,,,,,28701,0.00%
,,,,,,28704,0.00%
,,,,,,28715,0.00%
,,,,,,28726,0.00%
,,,,,,28729,0.00%
,,,,,,28730,0.00%
,,,,,,28731,0.00%
,,,,,,28732,0.00%
,,,,,,28739,0.00%
,,,,,,28742,0.00%
,,,,,,28748,0.00%
,,,,,,28759,0.00%
,,,,,,28766,0.00%
,,,,,,28773,0.00%
,,,,,,28778,0.00%
,,,,,,28787,0.00%
,,,,,,28790,0.00%
,,,,,,28791,0.00%
,,,,,,28792,0.00%
,,,,,,28801,0.00%
,,,,,,28803,0.00%
,,,,,,28804,0.00%
,,,,,,28805,0.00%
,,,,,,28806,0.00%
,,,,,,29301,0.00%
,,,,,,29302,0.00%
,,,,,,29303,0.00%
,,,,,,29306,0.00%
,,,,,,29307,0.00%
,,,,,,29316,0.00%
,,,,,,29329,0.00%
,,,,,,29330,0.00%
,,,,,,29334,0.00%
,,,,,,29346,0.00%
,,,,,,29349,0.00%
,,,,,,29365,0.00%
,,,,,,29369,0.00%
,,,,,,29375,0.00%
,,,,,,29376,0.00%
,,,,,,29377,0.00%
,,,,,,29385,0.00%
,,,,,,29401,0.00%
,,,,,,29403,0.00%
,,,,,,29405,0.00%
,,,,,,29406,0.00%
,,,,,,29407,0.00%
,,,,,,29410,0.00%
,,,,,,29412,0.00%
,,,,,,29414,0.00%
,,,,,,29418,0.00%
,,,,,,29439,0.00%
,,,,,,29451,0.00%
,,,,,,29455,0.00%
,,,,,,29464,0.00%
,,,,,,29466,0.00%
,,,,,,29482,0.00%
,,,,,,29492,0.00%
,,,,,,29601,0.00%
,,,,,,29605,0.00%
,,,,,,29607,0.00%
,,,,,,29609,0.00%
,,,,,,29611,0.00%
,,,,,,29615,0.00%
,,,,,,29617,0.00%
,,,,,,29650,0.00%
,,,,,,29651,0.00%
,,,,,,29662,0.00%
,,,,,,29680,0.00%
,,,,,,29681,0.00%
,,,,,,29687,0.00%
,,,,,,29707,0.00%
,,,,,,29708,0.00%
,,,,,,29715,0.00%
,,,,,,29910,0.00%
,,,,,,29915,0.00%
,,,,,,29926,0.00%
,,,,,,29928,0.00%
,,,,,,30002,0.00%
,,,,,,30004,0.00%
,,,,,,30005,0.00%
,,,,,,30008,0.00%
,,,,,,30009,0.00%
,,,,,,30017,0.00%
,,,,,,30021,0.00%
,,,,,,30022,0.00%
,,,,,,30024,0.00%
,,,,,,30030,0.00%
,,,,,,30032,0.00%
,,,,,,30033,0.00%
,,,,,,30034,0.00%
,,,,,,30035,0.00%
,,,,,,30039,0.00%
,,,,,,30043,0.00%
,,,,,,30044,0.00%
,,,,,,30045,0.00%
,,,,,,30046,0.00%
,,,,,,30047,0.00%
,,,,,,30052,0.00%
,,,,,,30060,0.00%
,,,,,,30062,0.00%
,,,,,,30064,0.00%
,,,,,,30066,0.00%
,,,,,,30067,0.00%
,,,,,,30068,0.00%
,,,,,,30071,0.00%
,,,,,,30072,0.00%
,,,,,,30075,0.00%
,,,,,,30076,0.00%
,,,,,,30078,0.00%
,,,,,,30079,0.00%
,,,,,,30080,0.00%
,,,,,,30082,0.00%
,,,,,,30083,0.00%
,,,,,,30084,0.00%
,,,,,,30087,0.00%
,,,,,,30088,0.00%
,,,,,,30092,0.00%
,,,,,,30093,0.00%
,,,,,,30096,0.00%
,,,,,,30097,0.00%
,,,,,,30101,0.00%
,,,,,,30102,0.00%
,,,,,,30106,0.00%
,,,,,,30122,0.00%
,,,,,,30126,0.00%
,,,,,,30127,0.00%
,,,,,,30132,0.00%
,,,,,,30141,0.00%
,,,,,,30144,0.00%
,,,,,,30152,0.00%
,,,,,,30168,0.00%
,,,,,,30188,0.00%
,,,,,,30189,0.00%
,,,,,,30205,0.00%
,,,,,,30214,0.00%
,,,,,,30215,0.00%
,,,,,,30236,0.00%
,,,,,,30238,0.00%
,,,,,,30260,0.00%
,,,,,,30265,0.00%
,,,,,,30268,0.00%
,,,,,,30269,0.00%
,,,,,,30273,0.00%
,,,,,,30274,0.00%
,,,,,,30276,0.00%
,,,,,,30277,0.00%
,,,,,,30281,0.00%
,,,,,,30288,0.00%
,,,,,,30290,0.00%
,,,,,,30294,0.00%
,,,,,,30296,0.00%
,,,,,,30297,0.00%
,,,,,,30303,0.00%
,,,,,,30305,0.00%
,,,,,,30306,0.00%
,,,,,,30307,0.00%
,,,,,,30308,0.00%
,,,,,,30309,0.00%
,,,,,,30310,0.00%
,,,,,,30311,0.00%
,,,,,,30312,0.00%
,,,,,,30313,0.00%
,,,,,,30314,0.00%
,,,,,,30315,0.00%
,,,,,,30316,0.00%
,,,,,,30317,0.00%
,,,,,,30318,0.00%
,,,,,,30319,0.00%
,,,,,,30324,0.00%
,,,,,,30326,0.00%
,,,,,,30327,0.00%
,,,,,,30328,0.00%
,,,,,,30329,0.00%
,,,,,,30331,0.00%
,,,,,,30337,0.00%
,,,,,,30338,0.00%
,,,,,,30339,0.00%
,,,,,,30340,0.00%
,,,,,,30341,0.00%
,,,,,,30342,0.00%
,,,,,,30344,0.00%
,,,,,,30345,0.00%
,,,,,,30346,0.00%
,,,,,,30349,0.00%
,,,,,,30350,0.00%
,,,,,,30354,0.00%
,,,,,,30360,0.00%
,,,,,,30725,0.00%
,,,,,,30736,0.00%
,,,,,,30741,0.00%
,,,,,,30742,0.00%
,,,,,,30750,0.00%
,,,,,,30757,0.00%
,,,,,,31401,0.00%
,,,,,,31404,0.00%
,,,,,,31405,0.00%
,,,,,,31406,0.00%
,,,,,,31407,0.00%
,,,,,,31408,0.00%
,,,,,,31410,0.00%
,,,,,,31411,0.00%
,,,,,,31415,0.00%
,,,,,,31419,0.00%
,,,,,,32003,0.00%
,,,,,,32043,0.00%
,,,,,,32065,0.00%
,,,,,,32068,0.00%
,,,,,,32073,0.00%
,,,,,,32081,0.00%
,,,,,,32082,0.00%
,,,,,,32202,0.00%
,,,,,,32204,0.00%
,,,,,,32205,0.00%
,,,,,,32206,0.00%
,,,,,,32207,0.00%
,,,,,,32210,0.00%
,,,,,,32211,0.00%
,,,,,,32216,0.00%
,,,,,,32217,0.00%
,,,,,,32218,0.00%
,,,,,,32219,0.00%
,,,,,,32220,0.00%
,,,,,,32221,0.00%
,,,,,,32222,0.00%
,,,,,,32223,0.00%
,,,,,,32224,0.00%
,,,,,,32225,0.00%
,,,,,,32233,0.00%
,,,,,,32244,0.00%
,,,,,,32246,0.00%
,,,,,,32250,0.00%
,,,,,,32254,0.00%
,,,,,,32256,0.00%
,,,,,,32257,0.00%
,,,,,,32258,0.00%
,,,,,,32259,0.00%
,,,,,,32266,0.00%
,,,,,,32277,0.00%
,,,,,,32407,0.00%
,,,,,,32408,0.00%
,,,,,,32413,0.00%
,,,,,,32541,0.00%
,,,,,,32550,0.00%
,,,,,,32578,0.00%
,,,,,,32579,0.00%
,,,,,,32580,0.00%
,,,,,,32601,0.00%
,,,,,,32603,0.00%
,,,,,,32605,0.00%
,,,,,,32606,0.00%
,,,,,,32607,0.00%
,,,,,,32608,0.00%
,,,,,,32609,0.00%
,,,,,,32618,0.00%
,,,,,,32653,0.00%
,,,,,,32667,0.00%
,,,,,,32701,0.00%
,,,,,,32703,0.00%
,,,,,,32707,0.00%
,,,,,,32708,0.00%
,,,,,,32712,0.00%
,,,,,,32713,0.00%
,,,,,,32714,0.00%
,,,,,,32725,0.00%
,,,,,,32730,0.00%
,,,,,,32732,0.00%
,,,,,,32738,0.00%
,,,,,,32746,0.00%
,,,,,,32750,0.00%
,,,,,,32751,0.00%
,,,,,,32763,0.00%
,,,,,,32765,0.00%
,,,,,,32766,0.00%
,,,,,,32771,0.00%
,,,,,,32773,0.00%
,,,,,,32779,0.00%
,,,,,,32789,0.00%
,,,,,,32792,0.00%
,,,,,,32801,0.00%
,,,,,,32803,0.00%
,,,,,,32804,0.00%
,,,,,,32805,0.00%
,,,,,,32806,0.00%
,,,,,,32807,0.00%
,,,,,,32808,0.00%
,,,,,,32809,0.00%
,,,,,,32810,0.00%
,,,,,,32811,0.00%
,,,,,,32812,0.00%
,,,,,,32814,0.00%
,,,,,,32817,0.00%
,,,,,,32818,0.00%
,,,,,,32819,0.00%
,,,,,,32820,0.00%
,,,,,,32821,0.00%
,,,,,,32822,0.00%
,,,,,,32824,0.00%
,,,,,,32825,0.00%
,,,,,,32826,0.00%
,,,,,,32827,0.00%
,,,,,,32828,0.00%
,,,,,,32829,0.00%
,,,,,,32835,0.00%
,,,,,,32836,0.00%
,,,,,,32837,0.00%
,,,,,,32839,0.00%
,,,,,,32955,0.00%
,,,,,,33004,0.00%
,,,,,,33009,0.00%
,,,,,,33010,0.00%
,,,,,,33012,0.00%
,,,,,,33013,0.00%
,,,,,,33014,0.00%
,,,,,,33015,0.00%
,,,,,,33016,0.00%
,,,,,,33018,0.00%
,,,,,,33019,0.00%
,,,,,,33020,0.00%
,,,,,,33021,0.00%
,,,,,,33023,0.00%
,,,,,,33024,0.00%
,,,,,,33025,0.00%
,,,,,,33026,0.00%
,,,,,,33027,0.00%
,,,,,,33028,0.00%
,,,,,,33029,0.00%
,,,,,,33032,0.00%
,,,,,,33054,0.00%
,,,,,,33055,0.00%
,,,,,,33056,0.00%
,,,,,,33060,0.00%
,,,,,,33062,0.00%
,,,,,,33063,0.00%
,,,,,,33064,0.00%
,,,,,,33065,0.00%
,,,,,,33066,0.00%
,,,,,,33067,0.00%
,,,,,,33068,0.00%
,,,,,,33069,0.00%
,,,,,,33071,0.00%
,,,,,,33073,0.00%
,,,,,,33076,0.00%
,,,,,,33109,0.00%
,,,,,,33125,0.00%
,,,,,,33126,0.00%
,,,,,,33127,0.00%
,,,,,,33128,0.00%
,,,,,,33129,0.00%
,,,,,,33130,0.00%
,,,,,,33131,0.00%
,,,,,,33132,0.00%
,,,,,,33133,0.00%
,,,,,,33134,0.00%
,,,,,,33135,0.00%
,,,,,,33136,0.00%
,,,,,,33137,0.00%
,,,,,,33138,0.00%
,,,,,,33139,0.00%
,,,,,,33140,0.00%
,,,,,,33141,0.00%
,,,,,,33142,0.00%
,,,,,,33143,0.00%
,,,,,,33144,0.00%
,,,,,,33145,0.00%
,,,,,,33146,0.00%
,,,,,,33147,0.00%
,,,,,,33149,0.00%
,,,,,,33150,0.00%
,,,,,,33154,0.00%
,,,,,,33155,0.00%
,,,,,,33156,0.00%
,,,,,,33157,0.00%
,,,,,,33158,0.00%
,,,,,,33160,0.00%
,,,,,,33161,0.00%
,,,,,,33162,0.00%
,,,,,,33165,0.00%
,,,,,,33166,0.00%
,,,,,,33167,0.00%
,,,,,,33168,0.00%
,,,,,,33169,0.00%
,,,,,,33170,0.00%
,,,,,,33172,0.00%
,,,,,,33173,0.00%
,,,,,,33174,0.00%
,,,,,,33175,0.00%
,,,,,,33176,0.00%
,,,,,,33177,0.00%
,,,,,,33178,0.00%
,,,,,,33179,0.00%
,,,,,,33180,0.00%
,,,,,,33181,0.00%
,,,,,,33182,0.00%
,,,,,,33183,0.00%
,,,,,,33184,0.00%
,,,,,,33185,0.00%
,,,,,,33186,0.00%
,,,,,,33187,0.00%
,,,,,,33189,0.00%
,,,,,,33190,0.00%
,,,,,,33193,0.00%
,,,,,,33196,0.00%
,,,,,,33301,0.00%
,,,,,,33304,0.00%
,,,,,,33305,0.00%
,,,,,,33306,0.00%
,,,,,,33308,0.00%
,,,,,,33309,0.00%
,,,,,,33311,0.00%
,,,,,,33312,0.00%
,,,,,,33313,0.00%
,,,,,,33314,0.00%
,,,,,,33315,0.00%
,,,,,,33316,0.00%
,,,,,,33317,0.00%
,,,,,,33319,0.00%
,,,,,,33321,0.00%
,,,,,,33322,0.00%
,,,,,,33323,0.00%
,,,,,,33324,0.00%
,,,,,,33325,0.00%
,,,,,,33326,0.00%
,,,,,,33327,0.00%
,,,,,,33328,0.00%
,,,,,,33330,0.00%
,,,,,,33331,0.00%
,,,,,,33332,0.00%
,,,,,,33334,0.00%
,,,,,,33351,0.00%
,,,,,,33401,0.00%
,,,,,,33403,0.00%
,,,,,,33404,0.00%
,,,,,,33405,0.00%
,,,,,,33406,0.00%
,,,,,,33407,0.00%
,,,,,,33408,0.00%
,,,,,,33409,0.00%
,,,,,,33410,0.00%
,,,,,,33411,0.00%
,,,,,,33412,0.00%
,,,,,,33413,0.00%
,,,,,,33414,0.00%
,,,,,,33415,0.00%
,,,,,,33417,0.00%
,,,,,,33418,0.00%
,,,,,,33426,0.00%
,,,,,,33428,0.00%
,,,,,,33431,0.00%
,,,,,,33432,0.00%
,,,,,,33433,0.00%
,,,,,,33434,0.00%
,,,,,,33435,0.00%
,,,,,,33436,0.00%
,,,,,,33437,0.00%
,,,,,,33441,0.00%
,,,,,,33442,0.00%
,,,,,,33444,0.00%
,,,,,,33445,0.00%
,,,,,,33446,0.00%
,,,,,,33449,0.00%
,,,,,,33458,0.00%
,,,,,,33460,0.00%
,,,,,,33461,0.00%
,,,,,,33462,0.00%
,,,,,,33463,0.00%
,,,,,,33467,0.00%
,,,,,,33469,0.00%
,,,,,,33470,0.00%
,,,,,,33472,0.00%
,,,,,,33473,0.00%
,,,,,,33477,0.00%
,,,,,,33478,0.00%
,,,,,,33480,0.00%
,,,,,,33483,0.00%
,,,,,,33484,0.00%
,,,,,,33486,0.00%
,,,,,,33487,0.00%
,,,,,,33496,0.00%
,,,,,,33498,0.00%
,,,,,,33510,0.00%
,,,,,,33511,0.00%
,,,,,,33527,0.00%
,,,,,,33534,0.00%
,,,,,,33543,0.00%
,,,,,,33544,0.00%
,,,,,,33545,0.00%
,,,,,,33547,0.00%
,,,,,,33548,0.00%
,,,,,,33549,0.00%
,,,,,,33556,0.00%
,,,,,,33558,0.00%
,,,,,,33559,0.00%
,,,,,,33567,0.00%
,,,,,,33569,0.00%
,,,,,,33570,0.00%
,,,,,,33572,0.00%
,,,,,,33573,0.00%
,,,,,,33578,0.00%
,,,,,,33579,0.00%
,,,,,,33584,0.00%
,,,,,,33592,0.00%
,,,,,,33594,0.00%
,,,,,,33596,0.00%
,,,,,,33598,0.00%
,,,,,,33602,0.00%
,,,,,,33603,0.00%
,,,,,,33604,0.00%
,,,,,,33605,0.00%
,,,,,,33606,0.00%
,,,,,,33607,0.00%
,,,,,,33609,0.00%
,,,,,,33610,0.00%
,,,,,,33611,0.00%
,,,,,,33612,0.00%
,,,,,,33613,0.00%
,,,,,,33614,0.00%
,,,,,,33615,0.00%
,,,,,,33616,0.00%
,,,,,,33617,0.00%
,,,,,,33618,0.00%
,,,,,,33619,0.00%
,,,,,,33624,0.00%
